Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно) Чудакова НИ	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (ул.Барклая д.15 к.3) (платно) Кузнецова ОС	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно) Панова АВ	Ознакомительный	6 - 11		Нет		Групповая
Английский язык	Английский на 5+ 2022-2023 4 класс (Долотова ОС - Б.Филевская д.15) (платно)	Английский на 5+ 2022-2023 4 класс (Долотова ОС - Б.Филевская д.15) (платно)	Ознакомительный	9 - 12		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно) Чудакова НИ	Ознакомительный	6 - 11		Нет		Групповая
Художественно-эстетическое и творческое развитие	Изостудия "Волшебная палитра" 2022-2023 (Федорова НС - Филевский б-р 23-2) (платно)	Изостудия "Волшебная палитра" 2022-2023 (Федорова НС - Филевский б-р 23-2) (платно) 1гр	Ознакомительный	4 - 6		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (Филёвский б-р д.3 к.2) (платно) Серегина ЖН	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно) Серегина ЖН	Ознакомительный	6 - 11		Нет		Групповая
Английский язык	Английский+ 2022-2023 5 классы (Мохова КВ - Б.Филевская 15) (платно)	Английский+ 2022-2023 5 классы (Мохова КВ - Б.Филевская 15) (платно)	Ознакомительный	10 - 12		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 1п Ляпина НИ	Ознакомительный	6 - 11		Да		Групповая
