Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Математические задачи повышенной сложности	Математический калейдоскоп 2022-2023 1Л (Григориадис Т.Л.- Барклая д. 15 к.3) (бюджет)	Математический калейдоскоп 2022-2023 1Л (Григориадис Т.Л. - Барклая д. 15 к.3) (бюджет) Григориадис ТЛ	Ознакомительный	6 - 8		Да		Групповая
Математические задачи повышенной сложности	Решаю сам 2022-2023 1Н (Николаева ОВ - Новозаводская д.19) (бюджет)	Решаю сам 2022-2023 1Н (Николаева ОВ - Новозаводская д.19) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Математические задачи повышенной сложности	Умка 2022-2023 2О (Демидова МВ - Новозаводская д.19) (бюджет)	Умка 2022-2023 2О (Демидова МВ - Новозаводская д.19) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Путешествие в страну математики 2022-2023 10и (Бондаренко О.Н. - Филевский б-р 13-2) (бюджет)	Путешествие в страну математики 2022-2023 10и (Бондаренко О.Н. - Филевский б-р 13-2) (бюджет)	Ознакомительный	15 - 18		Да		Групповая
Математические задачи повышенной сложности	Мир математики 2022-2023 3К (Полоник Л.А. - Барклая 15-3) (бюджет)	Мир математики 2022-2023 3К (Полоник Л.А. - Барклая 15-3) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Компьютерные технологии, программирование, робототехника	Лицей Академии Яндекса второй год 2022-2023 9-11 класс (Лукичев ЕС. - Б.Филевская 15) (бюджет)	Лицей Академии Яндекса второй уровень 2022-2023 9-11 класс (Лукичев ЕС - Б.Филевская 15) (бюджет)	Углубленный	14 - 18		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 2И (Карасева Г.Л. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 2И (Карасева Г.Л. - Б.Филевская д.15) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Математические задачи повышенной сложности	Занимательная математика 2022-2023 2Д (Суркина ЕН - Филевский б-р 3-2) (бюджет)	Занимательная математика 2022-2023 2Д (Суркина ЕН - Филевский б-р 3-2) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Занимательная математика-5 2022-2023 5Б (Сулыга К.Р. - Филёвский б-р д.3 к.2) (бюджет)	Занимательная математика-5 2022-2023 5Б (Сулыга К.Р. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	10 - 12		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 4Э (Скафа Е.И - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 4Э (Скафа Е.И - Б.Филевская д.15) (платно)	Ознакомительный	8 - 10		Нет		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 4Е (Баулина Н.Г - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 4Е (Баулина Н.Г - Б.Филевская д.15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Швейное дело	Кройка и шитье 2022-2023 5-8 класс (Святова О.А. - Б.Филевская д.15) (бюджет)	Кройка и шитье 2022-2023 5-8 класс (Святова О.А. - Б.Филевская д.15) (бюджет)	Ознакомительный	10 - 15		Да		Групповая
Кино-видеотехника	Видеосъемка 2022-2023 5-11 класс (Попов ФП - Б.Филевская 15) (бюджет)	Видеосъемка 2022-2023 5-11 класс (Попов ФП - Б.Филевская 15) (бюджет)	Ознакомительный	10 - 18		Да		Групповая
Кино-видеотехника	Видеомонтаж 2022-2023 5-11 класс (Попов ФП - Б.Филевская 15) (бюджет)	Видеомонтаж 2022-2023 5-11 класс (Попов ФП - Б.Филевская 15) (бюджет)	Ознакомительный	10 - 18		Да		Групповая
Кино-видеотехника	Искусство через объектив 2022-2023 1-4 класс, 5З,6з (Попов ФП - Б.Филевская 15) (бюджет)	Искусство через объектив 2022-2023 1-4 класс (Попов ФП - Б.Филевская 15) (бюджет) 1-4 кл	Ознакомительный	6 - 13		Да		Групповая
авиа-, авто-, судо-, железнодорожное моделирование	Авиа и ракетомоделирование 2022-2023 5-11 класс (Наумов АА - Филевский б-р 3-2) (бюджет)	Авиа и ракетомоделирование 2022-2023 5-11 класс (Наумов АА - Филевский б-р 3-2) (бюджет)	Базовый	10 - 18		Да		Групповая
Математические задачи повышенной сложности	На просторах математики 2022-2023 4 классы (Крапивина С.В. - Новозаводская д.19) (платно)	На просторах математики 2022-2023 4 классы (Крапивина С.В. - Новозаводская д.19) (платно)	Ознакомительный	9 - 10		Нет		Групповая
