Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Футбол	Футбол для дошкольников 2022-2023 (Малиновский А. - Филевский б-р 1-2) (платно)	Футбол для дошкольников 2022-2023 (Малиновский А. - Филевский б-р 1-2) (платно) №4 младшая	Ознакомительный	3 - 6		Нет		Групповая
Шахматы	Шахматы дошкольникам 5-6 лет 2022-2023 (Кишибаев ИЯ - Филевский б-р 8-2) (платно)	Шахматы дошкольникам 5-6 лет 2022-2023 (Кишибаев ИЯ - Филевский б-р 8-2) (платно)	Ознакомительный	4 - 7		Нет		Групповая
Футбол	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 8-2) (платно)	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 8-2) (платно) №2 5-7л	Ознакомительный	3 - 7		Нет		Групповая
ОФП	ОФП дошкольники 3-7 лет 2022-2023 (Петрова ЛВ - Тучковская 5) (платно)	ОФП дошкольники 3-7 лет 2022-2023 (Петрова ЛВ - Тучковская 5) (платно)	Ознакомительный	2 - 7		Нет		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 1-6 класс (Сафонова ОВ - Б.Филевская,15) (бюджет)	№8 3-6клФитнес-аэробика 2022-2023 1-6 класс (Сафонова ОВ - Б.Филевская,15) (бюджет)	Ознакомительный	6 - 13		Да		Групповая
ОФП	Подготовка к ГТО и спортивные игры 2022-2023 5-9 классы (Паненко КН/Хуснутдинов ФФ, Ястребова ДА - Б.Филевская д.15) (бюджет)	Подготовка к ГТО и спортивные игры 2022-2023 5-9 классы (Хуснутдинов ФФ - Б.Филевская д.15) (бюджет) замена Паненко КН	Ознакомительный	10 - 16		Да		Групповая
Футбол	Футбол для школьников 2022-2023 1-6 класс (Малиновский А. - Новозаводская 19) (платно)	Футбол для школьников 2022-2023 1-6 класс (Малиновский А. - Новозаводская 19) (платно) №2	Ознакомительный	6 - 12		Нет		Групповая
Футбол	Футбол для дошкольников 3-6 лет 2022-2023 (Малиновский А. - Тучковская 5)(платно)	Футбол для дошкольников 3-6 лет 2022-2023 (Малиновский А. - Тучковская 5)(платно) №6 младшая	Ознакомительный	2 - 6		Нет		Групповая
ОФП	Игровой стретчинг 4-7 лет 2022-2023 (Журкина ОН - Тучковская 5)(платно)	Игровой стретчинг 2022-2023 (Журкина ОН - Тучковская 5)(платно) №2 4-5 л	Ознакомительный	3 - 7		Нет		Групповая
Шашки	Юный шашист-2 2022-2023 (Вахрамеева Е.Б - Барклая 5-5) (платно)	Юный шашист-2 2022-2023 (Вахрамеева Е.Б - Барклая 5-5) (платно)	Ознакомительный	5 - 7		Нет		Групповая
Футбол	Футбол для дошкольников 3-6 лет 2022-2023 (Малиновский А.А. - Береговой пр 1б)(платно)	Футбол для дошкольников 3-6 лет 2022-2023 (Малиновский А.А. - Береговой пр 1б) (платно) №7 младшая	Ознакомительный	2 - 6		Нет		Групповая
Художественная гимнастика	Художественная гимнастика 2022-2023 (Семак АА - Филевский б-р 3-2) (платно)	Художественная гимнастика 2022-2023 (Семак АА - Филевский б-р 3-2) (платно)гр2	Ознакомительный	-		Нет		Групповая
Художественная гимнастика	Художественная гимнастика 2022-2023 (Семак АА - Новозаводская 19) (платно)	Художественная гимнастика 2022-2023 (Семак АА - Новозаводская 19) (платно)гр1	Ознакомительный	-		Нет		Групповая
ОФП	Фитнес с элементами ОФП 2022-2023 4-7 лет (Шлыкова КИ - Береговой пр-д 1Б) (платно)	Фитнес с элементами ОФП 2022-2023 6-7 лет (Шлыкова КИ - Береговой пр-д 1Б) (платно)1г	Ознакомительный	3 - 7		Нет		Групповая
Футбол	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 23-2) (платно)	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 23-2) (платно) №3 3-4л	Ознакомительный	3 - 7		Нет		Групповая
Настольный теннис	Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	№1 1кл Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
ОФП	Подготовка к ГТО и спортивные игры 2022-2023 5-9 классы (Паненко КН/Хуснутдинов ФФ, Ястребова ДА - Б.Филевская д.15) (бюджет)	Подготовка к ГТО и спортивные игры 2022-2023 5-9 классы (Паненко КН/Хуснутдинов ФФ, Ястребова ДА - Б.Филевская д.15) (бюджет) Ястребова ДА	Ознакомительный	10 - 16		Да		Групповая
ОФП	Фитнес с элементами ОФП 2022-2023 4-7 лет (Шлыкова КИ - Береговой пр-д 1Б) (платно)	Фитнес с элементами ОФП 2022-2023 4-5 лет (Шлыкова КИ - Береговой пр-д 1Б) (платно)2г	Ознакомительный	3 - 7		Нет		Групповая
Настольный теннис	Настольный теннис 2022-2023 5-8 класс (Ситникова ЕН - Б.Филевская д.15) (бюджет)	№9 5-8 кл Настольный теннис 2022-2023 5-8 класс (Ситникова ЕН - Б.Филевская д.15) (бюджет)	Базовый	10 - 15		Да		Групповая
Фитнес-аэробика	Фитнес-аэробика 2022-2023 1-5 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	№4 4-5кл Фитнес-аэробика 2022-2023 1-4 класс (Сафонова ОВ - Барклая 15-3) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
